observation_date,NYGDPPCAPKDWLD
2000-01-01,7858.90796621259
2001-01-01,7912.24589263937
2002-01-01,7989.62889151096
2003-01-01,8131.19308358597
2004-01-01,8388.59733771260
2005-01-01,8618.44740525166
2006-01-01,8890.47332913351
2007-01-01,9166.56507078682
2008-01-01,9240.50562652520
2009-01-01,9005.17592406812
2010-01-01,9298.74987325048
2011-01-01,9492.82945551876
2012-01-01,9630.06477941676
2013-01-01,9786.87939118090
2014-01-01,9972.48234099611
2015-01-01,10161.94457732340
2016-01-01,10324.84007050210
2017-01-01,10561.10010529090
2018-01-01,10789.66680897250
2019-01-01,10963.68163105150
2020-01-01,10541.81185453050
2021-01-01,11124.74952921160
2022-01-01,11403.94108081570
2023-01-01,11631.71647722100
2024-01-01,11851.50517161400
